Load, Score, SAV (1/cm), Max Mises Stress (MPa), Node 1 Displacement (cm), Node 2 Displacement (cm)
1, -40.289, 40.289, 35.6, 0.017, 0.020
2, 1.002, 40.289, 54.6, 0.295, 0.432
1, -40.050, 40.050, 33.6, 0.017, 0.019
2, 1.001, 40.050, 54.6, 0.289, 0.424
1, -40.205, 40.205, 35.1, 0.017, 0.020
2, 1.003, 40.205, 54.7, 0.293, 0.429
1, -40.199, 40.199, 39.4, 0.017, 0.020
2, -40.199, 40.199, 54.3, 0.293, 0.429
1, -40.197, 40.197, 35.6, 0.017, 0.020
2, -40.197, 40.197, 54.2, 0.293, 0.429
1, -40.126, 40.126, 33.9, 0.017, 0.020
2, 1.009, 40.126, 55.1, 0.291, 0.427
1, -40.116, 40.116, 38.5, 0.017, 0.020
2, -40.116, 40.116, 54.3, 0.291, 0.427
1, -40.099, 40.099, 34.6, 0.017, 0.019
2, -40.099, 40.099, 54.4, 0.291, 0.426
1, -40.222, 40.222, 35.2, 0.017, 0.020
2, 1.013, 40.222, 55.3, 0.294, 0.430
1, -40.150, 40.150, 35.3, 0.017, 0.020
2, 1.010, 40.150, 55.1, 0.292, 0.428
1, -40.213, 40.213, 35.6, 0.017, 0.020
2, 1.010, 40.213, 55.1, 0.293, 0.430
1, -40.213, 40.213, 35.5, 0.017, 0.020
2, -40.213, 40.213, 54.5, 0.293, 0.430
1, -40.172, 40.172, 34.8, 0.017, 0.020
2, -40.172, 40.172, 54.5, 0.292, 0.428
1, -40.163, 40.163, 35.5, 0.017, 0.020
2, 1.012, 40.163, 55.2, 0.292, 0.428
1, -40.216, 40.216, 35.4, 0.017, 0.020
2, 1.014, 40.216, 55.3, 0.293, 0.430
1, -40.177, 40.177, 34.5, 0.017, 0.020
2, 1.005, 40.177, 54.8, 0.292, 0.429
1, -40.172, 40.172, 34.6, 0.017, 0.020
2, 1.012, 40.172, 55.2, 0.292, 0.428
1, -40.205, 40.205, 35.1, 0.017, 0.020
2, 1.011, 40.205, 55.2, 0.293, 0.430
1, -40.239, 40.239, 35.2, 0.017, 0.020
2, -40.239, 40.239, 54.4, 0.294, 0.431
1, -40.277, 40.277, 38.9, 0.017, 0.020
2, 1.017, 40.277, 55.5, 0.295, 0.432
1, -40.209, 40.209, 35.4, 0.017, 0.020
2, 1.012, 40.209, 55.2, 0.293, 0.430
1, -40.206, 40.206, 34.5, 0.017, 0.020
2, 1.011, 40.206, 55.1, 0.293, 0.430
1, -40.208, 40.208, 39.7, 0.017, 0.020
2, 1.012, 40.208, 55.2, 0.293, 0.430
1, -40.206, 40.206, 34.8, 0.017, 0.020
2, 1.011, 40.206, 55.1, 0.293, 0.430
1, -40.233, 40.233, 35.2, 0.017, 0.020
2, 1.006, 40.233, 54.8, 0.294, 0.431
1, -40.226, 40.226, 34.0, 0.017, 0.020
2, 1.013, 40.226, 55.3, 0.294, 0.430
1, -40.205, 40.205, 35.6, 0.017, 0.020
2, 1.011, 40.205, 55.2, 0.293, 0.430
1, -40.208, 40.208, 35.2, 0.017, 0.020
2, 1.000, 40.208, 54.6, 0.293, 0.430
1, -40.226, 40.226, 35.1, 0.017, 0.020
2, 1.015, 40.226, 55.4, 0.294, 0.430
1, -40.223, 40.223, 39.5, 0.017, 0.020
2, 1.013, 40.223, 55.3, 0.294, 0.430
1, -40.218, 40.218, 38.8, 0.017, 0.020
2, -40.218, 40.218, 54.2, 0.294, 0.430
1, -40.221, 40.221, 35.2, 0.017, 0.020
2, 1.006, 40.221, 54.9, 0.294, 0.430
1, -40.216, 40.216, 35.2, 0.017, 0.020
2, 1.014, 40.216, 55.3, 0.293, 0.430
1, -40.223, 40.223, 35.2, 0.017, 0.020
2, 1.009, 40.223, 55.0, 0.294, 0.430
1, -40.242, 40.242, 39.6, 0.017, 0.020
2, 1.015, 40.242, 55.4, 0.294, 0.431
1, -40.215, 40.215, 38.8, 0.017, 0.020
2, -40.215, 40.215, 54.2, 0.293, 0.430
1, -40.221, 40.221, 35.1, 0.017, 0.020
2, 1.011, 40.221, 55.2, 0.294, 0.430
1, -40.223, 40.223, 35.2, 0.017, 0.020
2, -40.223, 40.223, 54.2, 0.294, 0.430
1, -40.225, 40.225, 35.1, 0.017, 0.020
2, 1.015, 40.225, 55.4, 0.294, 0.430
1, -40.222, 40.222, 35.3, 0.017, 0.020
2, 1.003, 40.222, 54.7, 0.294, 0.430
1, -40.208, 40.208, 34.8, 0.017, 0.020
2, 1.011, 40.208, 55.1, 0.293, 0.430
1, -40.227, 40.227, 38.8, 0.017, 0.020
2, 1.015, 40.227, 55.4, 0.294, 0.430
1, -40.231, 40.231, 35.2, 0.017, 0.020
2, 1.016, 40.231, 55.4, 0.294, 0.430
1, -40.229, 40.229, 39.8, 0.017, 0.020
2, 1.005, 40.229, 54.8, 0.294, 0.431
1, -40.227, 40.227, 35.4, 0.017, 0.020
2, -40.227, 40.227, 54.4, 0.294, 0.430
1, -40.224, 40.224, 39.5, 0.017, 0.020
2, 1.016, 40.224, 55.4, 0.294, 0.430
1, -40.230, 40.230, 35.1, 0.017, 0.020
2, 1.003, 40.230, 54.7, 0.294, 0.430
1, -40.236, 40.236, 39.8, 0.017, 0.020
2, 1.006, 40.236, 54.9, 0.294, 0.431
1, -40.231, 40.231, 35.2, 0.017, 0.020
2, 1.001, 40.231, 54.6, 0.294, 0.430
1, -40.241, 40.241, 38.9, 0.017, 0.020
2, 1.010, 40.241, 55.1, 0.294, 0.431
1, -40.236, 40.236, 35.6, 0.017, 0.020
2, 1.014, 40.236, 55.3, 0.294, 0.431
1, -40.233, 40.233, 35.7, 0.017, 0.020
2, 1.007, 40.233, 54.9, 0.294, 0.431
1, -40.235, 40.235, 0.0, 0.000, 0.000
2, 1.013, 40.235, 55.3, 0.294, 0.431
1, -40.235, 40.235, 35.2, 0.017, 0.020
2, 1.012, 40.235, 55.2, 0.294, 0.431
1, -40.234, 40.234, 35.2, 0.017, 0.020
2, 1.001, 40.234, 54.6, 0.294, 0.431
1, -40.238, 40.238, 35.7, 0.017, 0.020
2, -40.238, 40.238, 54.0, 0.294, 0.431
1, -40.231, 40.231, 39.5, 0.017, 0.020
2, 1.014, 40.231, 55.3, 0.294, 0.430
1, -40.240, 40.240, 35.2, 0.017, 0.020
2, 1.015, 40.240, 55.4, 0.294, 0.431
1, -40.233, 40.233, 38.8, 0.017, 0.020
2, 1.017, 40.233, 55.4, 0.294, 0.431
