a, b, c, score
0.0, 0.1, 0.1, 3776.2 
1e-08, 0.1, 0.1, 3776.2 
0.0, 0.10000001, 0.1, 3776.2 
0.0, 0.1, 0.10000001, 3776.2 
0.0, 0.5, 0.5, 100000000.0 
1e-08, 0.5, 0.5, 100000000.0 
0.0, 0.50000001, 0.5, 100000000.0 
0.0, 0.5, 0.50000001, 100000000.0 
0.0, 0.10000024897280389, 0.10000024897280389, 3776.2 
1e-08, 0.10000024897280389, 0.10000024897280389, 3776.2 
0.0, 0.10000025897280389, 0.10000024897280389, 3776.2 
0.0, 0.10000024897280389, 0.10000025897280389, 3776.2 
0.0, 0.30000012448640195, 0.30000012448640195, 3512.6 
1e-08, 0.30000012448640195, 0.30000012448640195, 3512.6 
0.0, 0.30000013448640195, 0.30000012448640195, 3512.6 
0.0, 0.30000012448640195, 0.30000013448640195, 3512.6 
0.0, 0.3000002379883113, 0.3000002379883113, 3512.6 
1e-08, 0.3000002379883113, 0.3000002379883113, 3512.6 
0.0, 0.3000002479883113, 0.3000002379883113, 3512.6 
0.0, 0.3000002379883113, 0.3000002479883113, 3512.6 
0.0, 0.3000003514901222, 0.3000003514901222, 3512.6 
1e-08, 0.3000003514901222, 0.3000003514901222, 3512.6 
0.0, 0.3000003614901222, 0.3000003514901222, 3512.6 
0.0, 0.3000003514901222, 0.3000003614901222, 3512.6 
0.0, 0.4000001757450611, 0.4000001757450611, 3323.2 
1e-08, 0.4000001757450611, 0.4000001757450611, 3323.2 
0.0, 0.4000001857450611, 0.4000001757450611, 3323.2 
0.0, 0.4000001757450611, 0.4000001857450611, 3323.2 
0.0, 0.400000210527784, 0.400000210527784, 3323.2 
1e-08, 0.400000210527784, 0.400000210527784, 3323.2 
0.0, 0.400000220527784, 0.400000210527784, 3323.2 
0.0, 0.400000210527784, 0.400000220527784, 3323.2 
0.0, 0.4000002453104834, 0.4000002453104834, 3323.2 
1e-08, 0.4000002453104834, 0.4000002453104834, 3323.2 
0.0, 0.4000002553104834, 0.4000002453104834, 3323.2 
0.0, 0.4000002453104834, 0.4000002553104834, 3323.2 
0.0, 0.4500001226552417, 0.4500001226552417, 100000000.0 
1e-08, 0.4500001226552417, 0.4500001226552417, 100000000.0 
0.0, 0.4500001326552417, 0.4500001226552417, 100000000.0 
0.0, 0.4500001226552417, 0.4500001326552417, 100000000.0 
0.0, 0.4000002540061577, 0.4000002540061577, 3323.2 
1e-08, 0.4000002540061577, 0.4000002540061577, 3323.2 
0.0, 0.4000002640061577, 0.4000002540061577, 3323.2 
0.0, 0.4000002540061577, 0.4000002640061577, 3323.2 
0.0, 0.400000262701829, 0.400000262701829, 3323.2 
1e-08, 0.400000262701829, 0.400000262701829, 3323.2 
0.0, 0.400000272701829, 0.400000262701829, 3323.2 
0.0, 0.400000262701829, 0.400000272701829, 3323.2 
0.0, 0.4250001926785354, 0.4250001926785354, 3269.8 
1e-08, 0.4250001926785354, 0.4250001926785354, 3269.8 
0.0, 0.4250002026785354, 0.4250001926785354, 3269.8 
0.0, 0.4250001926785354, 0.4250002026785354, 3269.8 
0.0, 0.4250001926785354, 0.4250001926785354, 3269.8 
1e-08, 0.4250001926785354, 0.4250001926785354, 3269.8 
0.0, 0.4250002026785354, 0.4250001926785354, 3269.8 
0.0, 0.4250001926785354, 0.4250002026785354, 3269.8 
0.0, 0.5, 0.5, 100000000.0 
1e-08, 0.5, 0.5, 100000000.0 
0.0, 0.50000001, 0.5, 100000000.0 
0.0, 0.5, 0.50000001, 100000000.0 
0.0, 0.425000213144811, 0.425000213144811, 3269.8 
1e-08, 0.425000213144811, 0.425000213144811, 3269.8 
0.0, 0.425000223144811, 0.425000213144811, 3269.8 
0.0, 0.425000213144811, 0.425000223144811, 3269.8 
0.0, 0.4625001065724055, 0.4625001065724055, 100000000.0 
1e-08, 0.4625001065724055, 0.4625001065724055, 100000000.0 
0.0, 0.4625001165724055, 0.4625001065724055, 100000000.0 
0.0, 0.4625001065724055, 0.4625001165724055, 100000000.0 
0.0, 0.4250002182613793, 0.4250002182613793, 3269.8 
1e-08, 0.4250002182613793, 0.4250002182613793, 3269.8 
0.0, 0.4250002282613793, 0.4250002182613793, 3269.8 
0.0, 0.4250002182613793, 0.4250002282613793, 3269.8 
0.0, 0.42500022337794635, 0.42500022337794635, 3269.8 
1e-08, 0.42500022337794635, 0.42500022337794635, 3269.8 
0.0, 0.42500023337794635, 0.42500022337794635, 3269.8 
0.0, 0.42500022337794635, 0.42500023337794635, 3269.8 
0.0, 0.4437501649751759, 0.4437501649751759, 100000000.0 
1e-08, 0.4437501649751759, 0.4437501649751759, 100000000.0 
0.0, 0.4437501749751759, 0.4437501649751759, 100000000.0 
0.0, 0.4437501649751759, 0.4437501749751759, 100000000.0 
0.0, 0.4250002246570879, 0.4250002246570879, 3269.8 
1e-08, 0.4250002246570879, 0.4250002246570879, 3269.8 
0.0, 0.4250002346570879, 0.4250002246570879, 3269.8 
0.0, 0.4250002246570879, 0.4250002346570879, 3269.8 
0.0, 0.4250002259362293, 0.4250002259362293, 3269.8 
1e-08, 0.4250002259362293, 0.4250002259362293, 3269.8 
0.0, 0.4250002359362293, 0.4250002259362293, 3269.8 
0.0, 0.4250002259362293, 0.4250002359362293, 3269.8 
0.0, 0.43437519545570263, 0.43437519545570263, 100000000.0 
1e-08, 0.43437519545570263, 0.43437519545570263, 100000000.0 
0.0, 0.43437520545570263, 0.43437519545570263, 100000000.0 
0.0, 0.43437519545570263, 0.43437520545570263, 100000000.0 
