1.0,0.0,0.0,0.2,0.6,0.4, 43.204, 57.0, 43.204, 44.5, 1.045 
1.0,0.0,0.0,0.2,0.6,0.6, 43.021, 65.0, 43.021, 48.5, 1.191 
1.0,0.0,0.0,0.2,0.6,0.8, 43.213, 52.2, 43.213, 42.0, -43.213 
1.0,0.0,0.0,0.2,0.6,1.0, 43.119, 52.1, 43.119, 42.0, -43.119 
1.0,0.0,0.0,0.2,0.8,0.0, 43.534, 63.6, 43.534, 49.9, 1.166 
1.0,0.0,0.0,0.2,0.8,0.2, 43.474, 65.7, 43.474, 49.6, 1.205 
1.0,0.0,0.0,0.2,0.8,0.4, 43.352, 61.7, 43.352, 44.8, 1.131 
1.0,0.0,0.0,0.2,0.8,0.6, 43.170, 70.1, 43.170, 48.9, 1.285 
1.0,0.0,0.0,0.2,0.8,0.8, 43.390, 57.2, 43.390, 42.9, 1.049 
1.0,0.0,0.0,0.2,0.8,1.0, 43.298, 56.9, 43.298, 42.7, 1.043 
1.0,0.0,0.0,0.2,1.0,0.0, 43.664, 67.9, 43.664, 50.4, 1.245 
1.0,0.0,0.0,0.2,1.0,0.2, 43.607, 69.6, 43.607, 49.3, 1.276 
1.0,0.0,0.0,0.2,1.0,0.4, 43.490, 64.0, 43.490, 43.5, 1.173 
1.0,0.0,0.0,0.2,1.0,0.6, 43.286, 75.0, 43.286, 48.8, 1.375 
1.0,0.0,0.0,0.2,1.0,0.8, 43.550, 62.1, 43.550, 43.4, 1.138 
1.0,0.0,0.0,0.2,1.0,1.0, 43.476, 61.7, 43.476, 43.3, 1.131 
1.0,0.0,0.0,0.4,0.0,0.0, 42.955, 46.4, 42.955, 52.3, -42.955 
1.0,0.0,0.0,0.4,0.0,0.2, 42.808, 46.4, 42.808, 50.4, -42.808 
1.0,0.0,0.0,0.4,0.0,0.4, 42.721, 42.4, 42.721, 44.6, -42.721 
1.0,0.0,0.0,0.4,0.0,0.6, 42.522, 47.3, 42.522, 48.0, -42.522 
1.0,0.0,0.0,0.4,0.0,0.8, 42.667, 40.2, 42.667, 42.1, -42.667 
1.0,0.0,0.0,0.4,0.0,1.0, 42.616, 40.2, 42.616, 42.5, -42.616 
1.0,0.0,0.0,0.4,0.2,0.0, 43.058, 51.4, 43.058, 53.0, -43.058 
1.0,0.0,0.0,0.4,0.2,0.2, 42.938, 50.5, 42.938, 50.3, -42.938 
1.0,0.0,0.0,0.4,0.2,0.4, 42.891, 46.4, 42.891, 44.7, -42.891 
1.0,0.0,0.0,0.4,0.2,0.6, 42.690, 52.4, 42.690, 48.5, -42.690 
