name, val, j, V, SA, SA:V
L, 16.200, 0, 3.260, 73.266, 22.475
L, 19.800, 2, 3.917, 87.231, 22.267
L1, 0.360, 0, 3.551, 79.563, 22.406
L1, 0.440, 2, 3.625, 80.925, 22.322
L2, 0.333, 0, 3.613, 80.887, 22.387
L2, 0.407, 2, 3.563, 79.592, 22.338
L11, 0.450, 0, 3.641, 81.049, 22.258
L11, 0.550, 2, 3.536, 79.364, 22.443
W, 2.430, 0, 3.356, 75.361, 22.456
W, 2.970, 2, 3.822, 85.059, 22.257
W21, 0.855, 0, 3.589, 80.210, 22.349
W21, 0.945, 2, 3.589, 80.210, 22.349
W22, 0.617, 0, 3.582, 79.965, 22.324
W22, 0.683, 2, 3.595, 80.484, 22.385
W23, 0.332, 0, 3.602, 80.678, 22.396
W23, 0.367, 2, 3.578, 79.704, 22.274
W3, 0.270, 0, 3.485, 78.040, 22.392
W3, 0.330, 2, 3.690, 82.301, 22.305
W4, 0.396, 0, 3.524, 78.926, 22.397
W4, 0.484, 2, 3.654, 81.493, 22.302
T, 0.360, 0, 3.108, 76.882, 24.735
T, 0.440, 2, 4.096, 83.515, 20.389
T1, 0.225, 0, 3.577, 80.313, 22.455
T1, 0.275, 2, 3.598, 80.687, 22.424
h4, 1.440, 0, 3.569, 79.353, 22.232
h4, 1.760, 2, 3.609, 81.134, 22.482
h7, 0.270, 0, 3.590, 80.276, 22.363
h7, 0.330, 2, 3.588, 80.145, 22.335
h2, 0.475, 0, 3.586, 80.287, 22.386
h2, 0.525, 2, 3.588, 80.145, 22.336
h6, 0.495, 0, 3.556, 79.542, 22.370
h6, 0.605, 2, 3.622, 80.878, 22.328
T2, 0.225, 0, 3.323, 80.995, 24.376
T2, 0.275, 2, 3.846, 80.014, 20.806
T3, 0.225, 0, 3.555, 80.233, 22.572
T3, 0.275, 2, 3.623, 80.188, 22.130
