1, -38.747, 38.747, 43.0, 0.108, 0.091
2, 1.349, 38.747, 73.6, 0.926, 1.113
1, -48.423, 48.423, 52.3, 0.123, 0.128
2, 1.138, 48.423, 62.1, 0.758, 1.006
1, -27.245, 27.245, 34.0, 0.060, 0.054
2, 1.031, 27.245, 56.2, 0.572, 0.605
1, 1.089, 37.185, 59.4, 0.118, 0.101
2, 3.636, 37.185, 138.9, 1.543, 1.635
1, -20.715, 20.715, 26.2, 0.054, 0.066
2, -20.715, 20.715, 34.5, 0.422, 0.439
1, -40.900, 40.900, 48.2, 0.085, 0.081
2, 1.241, 40.900, 67.7, 0.602, 0.887
1, 1.260, 38.300, 68.7, 0.133, 0.148
2, 2.847, 38.300, 86.6, 0.962, 1.060
1, 1.722, 29.183, 93.9, 0.202, 0.179
2, 5.289, 29.183, 194.6, 2.500, 2.528
1, -20.710, 20.710, 24.5, 0.045, 0.058
2, -20.710, 20.710, 30.0, 0.321, 0.340
1, -21.449, 21.449, 24.3, 0.052, 0.056
2, -21.449, 21.449, 32.2, 0.388, 0.405
1, 1.400, 38.487, 76.3, 0.146, 0.168
2, 3.193, 38.487, 97.8, 1.089, 1.194
1, 1.506, 28.999, 82.1, 0.238, 0.232
2, 4.034, 28.999, 137.9, 2.406, 2.447
1, 2.420, 52.684, 132.0, 0.388, 0.477
2, 5.022, 52.684, 141.9, 2.381, 2.617
1, 2.800, 40.794, 152.7, 0.503, 0.450
2, 8.467, 40.794, 309.1, 5.991, 6.095
1, -36.165, 36.165, 50.7, 0.159, 0.139
2, 1.409, 36.165, 76.8, 1.307, 1.400
1, -24.893, 24.893, 28.3, 0.078, 0.084
2, -24.893, 24.893, 38.3, 0.573, 0.606
1, 1.846, 51.848, 100.7, 0.141, 0.167
2, 3.640, 51.848, 97.9, 0.850, 1.083
1, -35.137, 35.137, 27.0, 0.061, 0.052
2, -35.137, 35.137, 38.5, 0.433, 0.577
1, -25.998, 25.998, 28.0, 0.055, 0.053
2, -25.998, 25.998, 52.1, 0.573, 0.607
1, 1.113, 32.978, 60.7, 0.149, 0.123
2, 3.644, 32.978, 138.0, 2.003, 2.074
1, 2.240, 50.720, 122.2, 0.465, 0.505
2, 5.298, 50.720, 166.8, 3.567, 3.809
1, -36.606, 36.606, 45.5, 0.126, 0.123
2, 1.016, 36.606, 55.4, 0.764, 0.888
1, 1.136, 47.681, 62.0, 0.120, 0.108
2, 2.877, 47.681, 95.0, 1.000, 1.199
1, 1.280, 49.669, 69.8, 0.153, 0.156
2, 3.385, 49.669, 114.8, 1.350, 1.609
1, -29.051, 29.051, 32.7, 0.074, 0.074
2, -29.051, 29.051, 43.6, 0.487, 0.603
1, 2.478, 33.893, 135.1, 0.225, 0.241
2, 6.998, 33.893, 246.5, 2.593, 2.641
1, -31.777, 31.777, 52.0, 0.101, 0.131
2, -31.777, 31.777, 52.3, 0.583, 0.640
1, 1.531, 40.835, 83.5, 0.231, 0.240
2, 3.381, 40.835, 100.9, 1.597, 1.713
1, -27.218, 27.218, 39.4, 0.060, 0.055
2, 1.259, 27.218, 68.7, 0.612, 0.645
1, -22.865, 22.865, 39.3, 0.118, 0.113
2, 1.296, 22.865, 70.7, 1.245, 1.269
1, -22.908, 22.908, 25.9, 0.055, 0.066
2, -22.908, 22.908, 31.0, 0.368, 0.392
1, 1.020, 51.295, 55.7, 0.170, 0.149
2, 2.502, 51.295, 80.8, 1.260, 1.621
1, -24.180, 24.180, 26.7, 0.045, 0.052
2, -24.180, 24.180, 31.3, 0.296, 0.323
1, -33.499, 33.499, 40.5, 0.067, 0.083
2, -33.499, 33.499, 42.9, 0.395, 0.472
1, 1.541, 37.758, 84.1, 0.170, 0.170
2, 3.868, 37.758, 126.9, 1.491, 1.583
1, -28.454, 28.454, 38.5, 0.090, 0.109
2, -28.454, 28.454, 46.3, 0.599, 0.651
1, 1.386, 48.927, 75.6, 0.172, 0.141
2, 3.606, 48.927, 121.1, 1.546, 1.732
1, 1.092, 39.827, 59.6, 0.159, 0.165
