[0.4345, 0.0459, 14.2518, 1.1437, 0.2768],  -62.067
[0.4345, 0.0459, 14.2519, 1.1437, 0.2768],  -62.067
[0.4345, 0.0459, 14.2518, 1.1437, 0.2768],  -62.068
[0.4344, 0.0459, 14.2519, 1.1437, 0.2768],  -62.068
[0.4344, 0.0459, 14.2519, 1.1437, 0.2768],  -62.069
[0.4345, 0.0459, 14.2519, 1.1437, 0.2768],  -62.068
[0.4345, 0.0459, 14.2519, 1.1437, 0.2768],  -62.068
[0.4344, 0.0459, 14.2519, 1.1437, 0.2768],  -62.069
[0.4344, 0.0459, 14.2519, 1.1437, 0.2768],  -62.07
[0.4344, 0.0459, 14.2519, 1.1437, 0.2768],  -62.07
[0.4344, 0.0459, 14.2519, 1.1437, 0.2768],  -62.069
[0.4344, 0.0459, 14.2519, 1.1437, 0.2768],  -62.069
[0.4344, 0.0459, 14.2519, 1.1437, 0.2768],  -62.07
[0.4344, 0.0459, 14.2519, 1.1437, 0.2768],  -62.07
[0.4344, 0.0459, 14.2519, 1.1437, 0.2768],  -62.07
[0.4344, 0.0459, 14.2519, 1.1437, 0.2768],  -62.071
[0.4344, 0.0459, 14.2519, 1.1437, 0.2768],  -62.071
[0.4344, 0.0459, 14.2519, 1.1437, 0.2768],  -62.071
[0.4344, 0.0459, 14.2519, 1.1437, 0.2768],  -62.07
[0.4344, 0.0459, 14.2519, 1.1437, 0.2768],  -62.071
[0.4344, 0.0459, 14.2519, 1.1437, 0.2768],  -62.071
[0.4344, 0.0459, 14.2519, 1.1437, 0.2768],  -62.071
[0.4343, 0.0459, 14.2519, 1.1437, 0.2768],  -62.072
[0.4344, 0.0459, 14.2519, 1.1437, 0.2768],  -62.071
[0.4343, 0.0459, 14.2519, 1.1437, 0.2768],  -62.072
[0.4343, 0.0459, 14.2519, 1.1437, 0.2768],  -62.072
[0.4344, 0.0459, 14.2519, 1.1437, 0.2768],  -62.071
[0.4343, 0.0459, 14.2519, 1.1437, 0.2768],  -62.072
[0.4343, 0.0459, 14.2519, 1.1437, 0.2768],  -62.072
[0.4343, 0.0459, 14.2519, 1.1437, 0.2768],  -62.072
[0.4343, 0.0459, 14.2519, 1.1437, 0.2768],  -62.073
[0.4343, 0.0459, 14.2519, 1.1437, 0.2768],  -62.073
[0.4343, 0.0459, 14.2519, 1.1437, 0.2768],  -62.072
[0.4343, 0.0459, 14.2518, 1.1437, 0.2768],  -62.073
[0.4343, 0.0459, 14.2518, 1.1437, 0.2768],  -62.073
[0.4343, 0.0459, 14.2518, 1.1437, 0.2768],  -62.073
[0.4343, 0.0459, 14.2518, 1.1438, 0.2768],  -62.074
[0.4343, 0.0459, 14.2518, 1.1438, 0.2768],  -62.075
[0.4343, 0.0459, 14.2518, 1.1438, 0.2768],  -62.074
[0.4343, 0.0459, 14.2518, 1.1438, 0.2768],  -62.075
[0.4342, 0.0459, 14.2518, 1.1438, 0.2768],  -62.075
[0.4342, 0.0459, 14.2517, 1.1438, 0.2767],  -62.076
[0.4342, 0.0459, 14.2518, 1.1438, 0.2767],  -62.076
[0.4342, 0.0459, 14.2517, 1.1438, 0.2767],  -62.077
[0.4341, 0.0459, 14.2517, 1.1438, 0.2767],  -62.079
[0.4342, 0.0459, 14.2517, 1.1438, 0.2767],  -62.078
[0.4342, 0.0459, 14.2517, 1.1438, 0.2767],  -62.078
[0.4342, 0.0459, 14.2517, 1.1438, 0.2767],  -62.077
[0.4342, 0.0459, 14.2517, 1.1438, 0.2767],  -62.077
[0.4342, 0.0459, 14.2517, 1.1438, 0.2767],  -62.077
[0.4342, 0.0459, 14.2517, 1.1438, 0.2767],  -62.078
[0.4341, 0.0459, 14.2517, 1.1438, 0.2767],  -62.079
[0.4341, 0.0459, 14.2516, 1.1438, 0.2767],  -62.08
[0.4341, 0.0459, 14.2516, 1.1438, 0.2767],  -62.08
[0.4341, 0.0459, 14.2516, 1.1438, 0.2767],  -62.081
[0.4341, 0.0459, 14.2516, 1.1438, 0.2767],  -62.081
[0.4341, 0.0459, 14.2516, 1.1438, 0.2767],  -62.08
[0.4341, 0.0459, 14.2516, 1.1438, 0.2767],  -62.08
[0.4341, 0.0459, 14.2516, 1.1438, 0.2767],  -62.08
[0.4341, 0.0459, 14.2516, 1.1438, 0.2767],  -62.081
[0.4341, 0.0459, 14.2516, 1.1438, 0.2767],  -62.081
[0.4341, 0.0459, 14.2516, 1.1438, 0.2767],  -62.081
[0.4341, 0.0459, 14.2516, 1.1438, 0.2767],  -62.081
[0.4341, 0.0459, 14.2516, 1.1438, 0.2767],  -62.081
[0.4341, 0.0459, 14.2516, 1.1438, 0.2767],  -62.081
[0.4341, 0.0459, 14.2516, 1.1438, 0.2767],  -62.081
[0.4341, 0.0459, 14.2516, 1.1438, 0.2767],  -62.081
